iteration,step,policy_loss,value_loss,rolling5
213,41880,3.1271,1.4909,3.163100
214,42080,3.1354,1.5012,3.154240
215,42280,3.1398,1.4975,3.145540
216,42480,3.1155,1.4783,3.131900
217,42680,3.1483,1.5021,3.133220
218,42880,3.155,1.4825,3.138800
219,43080,3.1417,1.528,3.140060
220,43280,3.1222,1.4995,3.136540
221,43480,3.1237,1.4789,3.138180
222,43680,3.1111,1.4711,3.130740
223,43880,3.1003,1.4619,3.119800
224,44080,3.0784,1.4391,3.107140
225,44280,3.0725,1.4478,3.097200
226,44480,3.0859,1.4837,3.089640
227,44680,3.0579,1.4865,3.079000
228,44880,3.0507,1.4689,3.069080
229,45080,3.0364,1.4802,3.060680
230,45280,3.0321,1.4564,3.052600
231,45480,3.03,1.4835,3.041420
232,45680,3.0313,1.4485,3.036100
233,45880,3.0074,1.4043,3.027440
234,46080,3.0224,1.4044,3.024640
235,46280,3.0164,1.4193,3.021500
236,46480,3.0144,1.4431,3.018380
237,46680,2.9921,1.3938,3.010540
238,46880,3.016,1.4459,3.012260
239,47080,3.0023,1.4249,3.008240
240,47280,2.9901,1.4304,3.002980
241,47480,2.9836,1.4426,2.996820
242,47680,2.9825,1.4539,2.994900
243,47880,2.9775,1.4074,2.987200
244,48080,2.9613,1.4117,2.979000
245,48280,2.954,1.3922,2.971780
246,48480,2.9521,1.4162,2.965480
247,48680,2.9716,1.4025,2.963300
248,48880,2.9652,1.4088,2.960840
249,49080,2.9592,1.3746,2.960420
250,49280,2.9512,1.3809,2.959860
251,49480,2.9228,1.3782,2.954000
252,49680,2.9045,1.3566,2.940580
253,49880,2.9122,1.3746,2.929980
254,50080,2.9199,1.4119,2.922120
255,50280,2.9408,1.3797,2.920040
256,50480,2.9146,1.3741,2.918400
257,50680,2.9041,1.3913,2.918320
258,50880,2.8796,1.3763,2.911800
259,51080,2.8857,1.3847,2.904960
260,51280,2.9356,1.4237,2.903920
261,51480,2.8956,1.3873,2.900120
262,51680,2.8937,1.4014,2.898040
263,51880,2.9056,1.3954,2.903240
264,52080,2.8892,1.4193,2.903940
265,52280,2.8918,1.4171,2.895180
266,52480,2.8764,1.4127,2.891340
267,52680,2.8895,1.3937,2.890500
268,52880,2.8789,1.4131,2.885160
269,53080,2.8773,1.3873,2.882780
270,53280,2.8345,1.373,2.871320
271,53480,2.912,1.4001,2.878440
272,53680,2.8692,1.3434,2.874380
273,53880,2.8909,1.3909,2.876780
274,54080,2.8562,1.3762,2.872560
275,54280,2.8617,1.3249,2.878000
276,54480,2.8733,1.3019,2.870260
277,54680,2.8525,1.3054,2.866920
278,54880,2.8504,1.2967,2.858820
279,55080,2.8629,1.3296,2.860160
280,55280,2.8956,1.3572,2.866940
281,55480,2.8625,1.3903,2.864780
282,55680,2.8542,1.3617,2.865120
283,55880,2.8518,1.3634,2.865400
284,56080,2.8547,1.3892,2.863760
285,56280,2.843,1.3815,2.853240
286,56480,2.8265,1.3443,2.846040
287,56680,2.8389,1.3327,2.842980
288,56880,2.8149,1.3317,2.835600
289,57080,2.8169,1.333,2.828040
290,57280,2.8154,1.3453,2.822520
291,57480,2.7996,1.3493,2.817140
292,57680,2.8059,1.3201,2.810540
293,57880,2.8175,1.3128,2.811060
294,58080,2.8337,1.3058,2.814420
295,58280,2.7958,1.3132,2.810500
296,58480,2.8098,1.3476,2.812540
297,58680,2.8205,1.302,2.815460
298,58880,2.8096,1.2977,2.813880
299,59080,2.8101,1.3276,2.809160
300,59280,2.7946,1.3644,2.808920
301,59480,2.7944,1.3157,2.805840
302,59680,2.7831,1.3004,2.798360
303,59880,2.8006,1.3176,2.796560
304,60080,2.8118,1.2894,2.796900
305,60280,2.7919,1.288,2.796360
306,60480,2.7689,1.2791,2.791260
307,60680,2.7906,1.291,2.792760
308,60880,2.8125,1.3417,2.795140
309,61080,2.7978,1.3363,2.792340
310,61280,2.776,1.283,2.789160
311,61480,2.8057,1.3196,2.796520
312,61680,2.7963,1.3153,2.797660
313,61880,2.7812,1.3381,2.791400
314,62080,2.7767,1.3026,2.787180
315,62280,2.7946,1.2928,2.790900
316,62480,2.7657,1.2907,2.782900
317,62680,2.7657,1.2884,2.776780
318,62880,2.7682,1.2995,2.774180
319,63080,2.7788,1.2887,2.774600
320,63280,2.792,1.2983,2.774080
321,63480,2.7496,1.3014,2.770860
322,63680,2.7425,1.2882,2.766220
323,63880,2.7269,1.2593,2.757960
324,64080,2.732,1.2701,2.748600
325,64280,2.7224,1.2815,2.734680
326,64480,2.7361,1.2585,2.731980
327,64680,2.715,1.2456,2.726480
328,64880,2.7008,1.2552,2.721260
329,65080,2.675,1.2597,2.709860
330,65280,2.6825,1.2828,2.701880
331,65480,2.6843,1.2808,2.691520
332,65680,2.6867,1.2644,2.685860
333,65880,2.6933,1.262,2.684360
334,66080,2.7041,1.255,2.690180
335,66280,2.6975,1.2313,2.693180
336,66480,2.6931,1.2851,2.694940
337,66680,2.7255,1.28,2.702700
338,66880,2.7605,1.2582,2.716140
339,67080,2.7737,1.2453,2.730060
340,67280,2.7805,1.2534,2.746660
341,67480,2.7792,1.2162,2.763880
342,67680,2.7429,1.204,2.767360
343,67880,2.7143,1.1963,2.758120
344,68080,2.7245,1.2369,2.748280
345,68280,2.7273,1.2435,2.737640
346,68480,2.7304,1.2113,2.727880
347,68680,2.7168,1.19,2.722660
348,68880,2.7811,1.2228,2.736020
349,69080,2.7531,1.2085,2.741740
350,69280,2.7745,1.2493,2.751180
351,69480,2.74,1.2502,2.753100
352,69680,2.7292,1.268,2.755580
353,69880,2.7244,1.2516,2.744240
354,70080,2.706,1.2499,2.734820
355,70280,2.6963,1.2519,2.719180
356,70480,2.6921,1.2379,2.709600
357,70680,2.678,1.2144,2.699360
358,70880,2.6559,1.1755,2.685660
359,71080,2.6581,1.1828,2.676080
360,71280,2.6914,1.2611,2.675100
361,71480,2.6781,1.2478,2.672300
362,71680,2.7165,1.2891,2.680000
363,71880,2.6843,1.265,2.685680
364,72080,2.6952,1.2496,2.693100
365,72280,2.7135,1.248,2.697520
366,72480,2.6967,1.2412,2.701240
367,72680,2.6797,1.2336,2.693880
368,72880,2.7155,1.2893,2.700120
369,73080,2.722,1.2657,2.705480
370,73280,2.699,1.2906,2.702580
371,73480,2.6768,1.2618,2.698600
372,73680,2.6717,1.2291,2.697000
373,73880,2.6874,1.2016,2.691380
374,74080,2.7259,1.2424,2.692160
375,74280,2.7116,1.2234,2.694680
376,74480,2.7248,1.2528,2.704280
377,74680,2.7238,1.2653,2.714700
378,74880,2.7226,1.2667,2.721740
379,75080,2.7039,1.2329,2.717340
380,75280,2.69,1.2472,2.713020
381,75480,2.66,1.2195,2.700060
382,75680,2.6917,1.2321,2.693640
383,75880,2.6682,1.224,2.682760
384,76080,2.6638,1.2086,2.674740
385,76280,2.6853,1.2317,2.673800
386,76480,2.6655,1.2248,2.674900
387,76680,2.6784,1.2324,2.672240
388,76880,2.6802,1.2694,2.674640
389,77080,2.6913,1.2288,2.680140
390,77280,2.6753,1.2131,2.678140
391,77480,2.665,1.208,2.678040
392,77680,2.672,1.2144,2.676760
393,77880,2.6717,1.1828,2.675060
394,78080,2.6511,1.1961,2.667020
395,78280,2.655,1.172,2.662960
396,78480,2.6709,1.2068,2.664140
397,78680,2.6599,1.1942,2.661720
398,78880,2.689,1.2113,2.665180
399,79080,2.6889,1.2034,2.672740
400,79280,2.6646,1.1789,2.674660
401,79480,2.655,1.1462,2.671480
402,79680,2.6543,1.2101,2.670360
403,79880,2.6662,1.224,2.665800
404,80080,2.6595,1.2273,2.659920
405,80280,2.6398,1.236,2.654960
406,80480,2.66,1.2286,2.655960
407,80680,2.6706,1.1909,2.659220
408,80880,2.6447,1.1862,2.654920
409,81080,2.6506,1.2039,2.653140
410,81280,2.6315,1.1999,2.651480
411,81480,2.6443,1.2144,2.648340
412,81680,2.6445,1.2234,2.643120
413,81880,2.6658,1.1888,2.647340
414,82080,2.6441,1.1871,2.646040
415,82280,2.6671,1.2225,2.653160
416,82480,2.6817,1.209,2.660640
417,82680,2.6676,1.2156,2.665260
418,82880,2.6693,1.1816,2.665960
419,83080,2.6565,1.19,2.668440
420,83280,2.6638,1.2063,2.667780
421,83480,2.6588,1.2064,2.663200
422,83680,2.6454,1.2644,2.658760
423,83880,2.6215,1.2442,2.649200
424,84080,2.6133,1.239,2.640560
425,84280,2.6363,1.2381,2.635060
426,84480,2.6445,1.2339,2.632200
427,84680,2.6366,1.2038,2.630440
428,84880,2.6318,1.1967,2.632500
429,85080,2.6341,1.1907,2.636660
430,85280,2.6434,1.1952,2.638080
431,85480,2.642,1.2094,2.637580
432,85680,2.6614,1.1673,2.642540
433,85880,2.6585,1.1799,2.647880
434,86080,2.6689,1.1924,2.654840
435,86280,2.6637,1.2141,2.658900
436,86480,2.6814,1.2216,2.666780
437,86680,2.6574,1.2323,2.665980
438,86880,2.6469,1.2168,2.663660
439,87080,2.683,1.1532,2.666480
440,87280,2.6492,1.1161,2.663580
